일자	현재지수	대비	등락률(%)	배당수익률(%)	주가이익비율	주가자산비율	시가지수	고가지수	저가지수	거래량(천주)	거래대금(백만원)	상장시가총액(백만원)
2000/01/04	1,059.04	30.97	3.01	0.63	0.0	0.0	1,028.33	1,066.18	1,016.59	195,899	3,771,013	
2000/01/05	986.31	-72.73	-6.87	0.68	0.0	0.0	1,006.87	1,047.70	984.05	257,696	4,798,126	
2000/01/06	960.79	-25.52	-2.59	0.7	0.0	0.0	1,013.95	1,014.90	953.50	203,524	3,726,898	
2000/01/07	948.65	-12.14	-1.26	0.71	0.0	0.0	949.17	970.16	930.84	215,664	3,696,686	
2000/01/10	987.24	38.59	4.07	0.68	0.0	0.0	979.67	994.94	965.02	240,175	3,815,037	
2000/01/11	981.33	-5.91	-0.6	0.69	0.0	0.0	992.17	1,005.87	981.23	257,071	4,244,168	
2000/01/12	955.01	-26.32	-2.68	0.7	0.0	0.0	957.98	976.86	949.20	227,079	3,352,483	
2000/01/13	951.05	-3.96	-0.41	0.71	0.0	0.0	955.06	960.73	939.25	223,001	3,354,502	
2000/01/14	948.03	-3.02	-0.32	0.71	0.0	0.0	958.82	970.59	937.75	224,958	3,438,219	
2000/01/17	983.27	35.24	3.72	0.69	0.0	0.0	962.67	986.09	950.75	212,058	3,390,747	
2000/01/18	981.53	-1.74	-0.18	0.69	0.0	0.0	992.31	992.85	967.96	212,080	3,416,478	
2000/01/19	938.78	-42.75	-4.36	0.72	0.0	0.0	969.31	977.00	938.74	235,727	3,375,139	
2000/01/20	945.90	7.12	0.76	0.71	0.0	0.0	927.12	945.90	906.26	226,684	3,170,847	
2000/01/21	925.16	-20.74	-2.19	0.73	0.0	0.0	928.55	942.20	911.83	255,135	3,495,329	
2000/01/24	926.77	1.61	0.17	0.73	0.0	0.0	917.93	944.31	915.70	210,414	2,826,008	
2000/01/25	891.22	-35.55	-3.84	0.76	0.0	0.0	909.12	918.48	891.22	242,591	2,674,106	
2000/01/26	885.54	-5.68	-0.64	0.77	0.0	0.0	896.34	902.43	875.82	231,146	2,733,539	
2000/01/27	909.23	23.69	2.68	0.75	0.0	0.0	888.27	912.49	879.00	344,912	3,766,460	
2000/01/28	941.67	32.44	3.57	0.72	0.0	0.0	922.74	943.95	911.12	293,137	3,858,507	
2000/01/31	943.88	2.21	0.23	0.72	0.0	0.0	924.83	948.84	922.92	289,435	3,669,515	
2000/02/01	928.75	-15.13	-1.6	0.73	0.0	0.0	955.44	959.31	923.52	306,143	3,931,047	
2000/02/02	943.59	14.84	1.6	0.72	0.0	0.0	929.69	950.13	923.40	310,406	4,284,082	
2000/02/03	950.22	6.63	0.7	0.71	0.0	0.0	950.26	959.00	934.11	277,121	4,398,129	
2000/02/07	973.13	22.91	2.41	0.69	0.0	0.0	953.23	982.03	951.31	271,765	4,367,938	
2000/02/08	961.22	-11.91	-1.22	0.7	0.0	0.0	977.07	981.42	960.47	229,490	3,574,098	
2000/02/09	976.05	14.83	1.54	0.69	0.0	0.0	967.53	979.92	959.13	240,446	3,821,326	
2000/02/10	966.18	-9.87	-1.01	0.7	0.0	0.0	966.36	991.71	957.73	251,615	4,328,262	
2000/02/11	953.22	-12.96	-1.34	0.71	0.0	0.0	990.11	990.75	941.24	274,781	4,189,066	
2000/02/14	910.87	-42.35	-4.44	0.74	0.0	0.0	932.94	941.23	907.91	234,180	3,495,271	
2000/02/15	879.70	-31.17	-3.42	0.77	0.0	0.0	916.89	919.43	875.05	218,599	3,165,602	
2000/02/16	879.50	-0.2	-0.02	0.77	0.0	0.0	881.03	886.63	843.58	214,046	3,066,447	
2000/02/17	897.52	18.02	2.05	0.75	0.0	0.0	869.35	901.83	869.35	212,421	3,225,718	
2000/02/18	879.14	-18.38	-2.05	0.76	0.0	0.0	900.71	918.04	879.14	258,282	4,154,668	
2000/02/21	845.32	-33.82	-3.85	0.79	0.0	0.0	864.61	871.08	843.65	213,795	2,640,729	
2000/02/22	850.02	4.7	0.56	0.79	0.0	0.0	844.11	867.68	835.97	244,390	2,936,447	
2000/02/23	880.67	30.65	3.61	0.76	0.0	0.0	866.14	882.79	852.89	346,449	4,007,155	
2000/02/24	867.37	-13.3	-1.51	0.77	0.0	0.0	874.53	887.82	857.68	256,689	2,912,720	
2000/02/25	864.76	-2.61	-0.3	0.77	0.0	0.0	856.06	873.08	847.14	255,183	2,917,014	
2000/02/28	819.01	-45.75	-5.29	0.82	0.0	0.0	850.36	856.25	819.01	253,125	2,925,441	
2000/02/29	828.38	9.37	1.14	0.81	0.0	0.0	843.31	846.37	810.53	275,729	3,379,940	
2000/03/02	894.66	66.28	8.0	0.75	0.0	0.0	864.78	900.30	857.05	317,754	4,338,609	
2000/03/03	894.83	0.17	0.02	0.75	0.0	0.0	909.81	910.02	882.48	311,250	4,498,416	
2000/03/06	909.33	14.5	1.62	0.74	0.0	0.0	907.56	913.51	899.58	352,624	4,073,945	
2000/03/07	907.34	-1.99	-0.22	0.74	0.0	0.0	907.01	907.85	893.09	339,275	3,729,763	
2000/03/08	915.94	8.6	0.95	0.73	0.0	0.0	895.93	919.03	883.53	313,736	3,605,247	
2000/03/09	884.59	-31.35	-3.42	0.76	0.0	0.0	922.71	928.55	884.59	370,034	4,477,184	
2000/03/10	891.36	6.77	0.77	0.75	0.0	0.0	902.31	913.60	886.26	330,624	3,896,806	
2000/03/13	854.66	-36.7	-4.12	0.78	0.0	0.0	890.87	890.87	849.52	364,402	3,971,215	
2000/03/14	846.74	-7.92	-0.93	0.79	0.0	0.0	843.14	858.68	838.31	330,754	3,361,891	
2000/03/15	837.53	-9.21	-1.09	0.8	0.0	0.0	837.35	841.73	820.30	312,898	3,309,113	
2000/03/16	841.22	3.69	0.44	0.8	0.0	0.0	847.90	860.40	832.17	298,875	3,012,746	
2000/03/17	855.57	14.35	1.71	0.78	0.0	0.0	864.36	869.82	850.04	300,845	3,267,227	
2000/03/20	850.51	-5.06	-0.59	0.79	0.0	0.0	862.68	867.54	843.46	227,935	2,537,959	
2000/03/21	863.41	12.9	1.52	0.78	0.0	0.0	850.91	863.41	838.98	227,938	2,715,598	
2000/03/22	882.43	19.02	2.2	0.76	0.0	0.0	869.88	886.53	865.97	296,028	3,944,934	
2000/03/23	867.62	-14.81	-1.68	0.77	0.0	0.0	888.89	892.78	862.84	254,908	3,356,012	
2000/03/24	889.24	21.62	2.49	0.76	0.0	0.0	876.93	900.06	861.64	281,926	3,913,616	
2000/03/27	886.71	-2.53	-0.28	0.76	0.0	0.0	893.13	893.13	876.52	282,360	3,725,573	
2000/03/28	891.29	4.58	0.52	0.76	0.0	0.0	886.51	902.76	882.22	262,748	3,794,357	
2000/03/29	908.51	17.22	1.93	0.74	0.0	0.0	886.69	913.35	881.52	280,750	4,200,497	
2000/03/30	889.95	-18.56	-2.04	0.76	0.0	0.0	905.59	909.51	889.23	264,077	3,783,014	
2000/03/31	860.94	-29.01	-3.26	0.78	0.0	0.0	872.02	885.74	860.52	214,731	2,846,570	
2000/04/03	846.44	-14.5	-1.68	1.3	29.85	0.0	866.75	876.81	837.36	209,591	2,702,716	
2000/04/04	830.16	-16.28	-1.92	1.33	29.28	0.0	835.24	850.10	814.54	203,032	2,651,834	
2000/04/06	804.35	-25.81	-3.11	1.37	28.35	0.0	827.23	827.89	804.15	172,973	2,187,536	
2000/04/07	837.38	33.03	4.11	1.32	29.49	0.0	811.38	838.82	811.38	205,116	2,555,764	
2000/04/10	870.17	32.79	3.92	1.27	30.65	0.0	861.72	880.41	851.30	325,320	3,586,994	
2000/04/11	855.05	-15.12	-1.74	1.29	30.14	0.0	864.65	864.65	839.82	255,141	2,591,645	
2000/04/12	837.01	-18.04	-2.11	1.32	29.35	0.0	841.16	853.61	834.75	213,511	2,333,327	
2000/04/14	800.89	-36.12	-4.32	1.38	28.08	0.0	808.46	816.07	793.74	229,816	2,563,918	
2000/04/17	707.72	-93.17	-11.63	1.57	24.6	0.0	762.96	762.96	699.22	287,741	2,967,822	
2000/04/18	747.30	39.58	5.59	1.48	25.92	0.0	738.10	769.38	724.05	273,027	3,194,868	
2000/04/19	755.08	7.78	1.04	1.47	26.21	0.0	767.27	781.55	745.77	292,379	3,061,259	
2000/04/20	761.25	6.17	0.82	1.46	26.49	0.0	752.04	765.01	749.61	204,061	1,883,425	
2000/04/21	767.16	5.91	0.78	1.45	26.69	0.0	764.81	772.86	759.34	202,142	1,881,393	
2000/04/24	747.58	-19.58	-2.55	1.48	25.97	0.0	767.05	770.72	746.16	176,656	1,673,783	
2000/04/25	737.20	-10.38	-1.39	1.5	25.61	0.0	738.56	742.15	730.43	168,481	1,679,122	
2000/04/26	713.23	-23.97	-3.25	1.55	24.77	0.0	751.89	760.21	712.42	241,942	2,644,279	
2000/04/27	692.07	-21.16	-2.97	1.6	24.04	0.0	699.29	710.70	688.36	224,445	2,611,006	
2000/04/28	725.39	33.32	4.81	1.53	25.14	0.0	698.06	727.26	698.06	228,152	2,721,730	
2000/05/02	752.59	27.2	3.75	1.47	26.09	0.0	731.76	753.46	729.84	195,974	2,706,552	
2000/05/03	752.76	0.17	0.02	1.47	26.15	0.0	751.07	755.62	742.94	179,779	2,029,348	
2000/05/04	751.29	-1.47	-0.2	1.48	26.02	0.0	753.18	760.99	745.39	190,226	2,011,234	
2000/05/08	770.24	18.95	2.52	1.44	26.42	0.0	759.15	778.46	759.15	195,512	2,249,240	
2000/05/09	760.85	-9.39	-1.22	1.46	26.11	0.0	768.01	771.51	758.89	181,011	1,744,045	
2000/05/10	759.51	-1.34	-0.18	1.46	26.07	0.0	757.36	764.64	753.73	193,571	1,661,810	
2000/05/12	740.30	-19.21	-2.53	1.5	25.41	0.0	762.80	763.01	737.07	189,058	1,822,940	
2000/05/15	728.67	-11.63	-1.57	1.52	25.0	0.0	737.21	740.16	719.60	193,276	1,743,726	
2000/05/16	746.77	18.1	2.48	1.49	25.62	0.0	729.10	746.77	723.71	172,348	1,663,440	
2000/05/17	727.18	-19.59	-2.62	1.53	24.93	0.0	752.52	769.01	726.89	219,006	2,523,947	
2000/05/18	712.95	-14.23	-1.96	1.56	24.46	0.0	705.62	718.72	699.00	201,440	1,753,476	
2000/05/19	730.68	17.73	2.49	1.5	24.98	0.0	712.13	730.71	695.73	196,287	1,973,791	
2000/05/22	691.61	-39.07	-5.35	1.59	23.54	0.0	715.55	718.30	688.58	176,624	1,570,114	
2000/05/23	679.76	-11.85	-1.71	1.62	23.15	0.0	674.03	694.44	674.03	211,387	1,797,884	
2000/05/24	674.95	-4.81	-0.71	1.63	22.97	0.0	669.21	689.55	643.97	289,351	2,416,950	
2000/05/25	699.53	24.58	3.64	1.57	25.3	0.0	696.69	708.59	685.18	401,992	3,884,286	
2000/05/26	656.66	-42.87	-6.13	1.68	23.44	0.0	690.54	693.10	656.66	350,450	2,539,360	
2000/05/29	655.93	-0.73	-0.11	1.68	23.4	0.0	627.40	664.27	625.14	309,609	2,385,942	
2000/05/30	691.26	35.33	5.39	1.59	24.64	0.0	668.65	692.31	668.65	389,665	2,866,427	
2000/05/31	731.88	40.62	5.88	1.5	26.22	0.0	708.04	744.60	708.04	503,781	4,334,907	
2000/06/01	738.49	6.61	0.9	1.49	26.47	0.0	730.55	746.70	722.24	314,336	2,911,228	
2000/06/02	760.69	22.2	3.01	1.45	27.25	0.0	759.22	776.49	750.38	430,574	3,841,564	
2000/06/05	794.21	33.52	4.41	1.39	28.43	0.0	778.48	799.34	778.48	464,377	4,067,027	
2000/06/07	822.54	28.33	3.57	1.34	29.46	0.0	798.23	822.98	792.71	493,503	4,945,621	
2000/06/08	800.11	-22.43	-2.73	1.38	28.65	0.0	825.56	842.13	795.99	669,049	5,819,105	
2000/06/09	836.40	36.29	4.54	1.32	29.94	0.0	800.28	836.82	790.43	506,778	4,859,107	
2000/06/12	845.81	9.41	1.13	1.3	30.26	0.0	851.06	858.34	828.66	516,737	4,452,654	
2000/06/13	804.45	-41.36	-4.89	1.38	28.66	0.0	833.18	835.29	800.32	426,604	3,462,371	
2000/06/14	819.27	14.82	1.84	1.36	29.08	0.0	814.05	821.13	792.30	438,193	3,799,428	
2000/06/15	770.95	-48.32	-5.9	1.44	27.39	0.0	814.62	814.62	770.70	380,637	2,973,217	
2000/06/16	759.04	-11.91	-1.54	1.46	26.97	0.0	759.58	775.26	753.96	317,142	2,435,163	
2000/06/19	755.38	-3.66	-0.48	1.47	26.84	0.0	748.47	777.13	744.90	270,286	2,177,166	
2000/06/20	785.32	29.94	3.96	1.42	27.87	0.0	772.98	785.32	764.98	340,771	2,613,707	
2000/06/21	781.87	-3.45	-0.44	1.42	27.7	0.0	793.67	799.44	780.68	529,238	3,675,903	
2000/06/22	782.24	0.37	0.05	1.42	27.71	0.0	795.08	804.20	771.06	369,638	3,008,768	
2000/06/23	778.94	-3.3	-0.42	1.43	27.57	0.0	772.18	778.94	768.29	261,847	2,004,909	
2000/06/26	791.55	12.61	1.62	1.41	28.03	0.0	782.28	794.89	779.39	286,734	2,290,800	
2000/06/27	809.87	18.32	2.31	1.38	28.7	0.0	799.58	810.70	795.55	465,833	3,215,650	
2000/06/28	818.73	8.86	1.09	1.36	29.02	0.0	810.44	822.04	806.87	500,101	3,469,000	
2000/06/29	818.90	0.17	0.02	1.36	29.08	0.0	828.59	830.80	807.93	338,971	3,041,004	
2000/06/30	821.22	2.32	0.28	1.36	29.17	0.0	815.03	823.36	812.26	462,873	2,896,273	
2000/07/03	835.21	13.99	1.7	1.34	29.65	0.0	824.83	836.53	824.83	440,790	2,889,966	
2000/07/04	818.53	-16.68	-2.0	1.36	29.07	0.0	840.20	841.52	818.47	439,141	3,275,866	
2000/07/05	830.40	11.87	1.45	1.34	29.5	0.0	818.40	830.40	810.10	531,941	3,279,593	
